# De Novo Monomer Dataset compiled by Daniel Peñas-Utrilla and Enrique Marcos (July 2022)

# Designs were collected from the following references:

# id Reference
#-------------------------------------------------------------
#  1  Koga N et al.,Nature(2012). doi:10.1038/nature11600 
#  2  Lin YR et al.,PNAS(2015). doi: 10.1073/pnas.1509508112
#  3  Brunette TJ et al.,Nature(2015). doi:10.1038/nature16162
#  4  Doyle L et al.,Nature(2015). doi:10.1038/nature16191
#  5  Marcos E et al.,Science(2017). doi:10.1126/science.aah7389
#  6  Dou J et al.,Nature(2018). doi:10.1038/s41586-018-0509-0
#  7  Marcos E et al.,Nat.Struct.Mol.Biol.(2018). doi:10.1038/s41594-018-0141-6
#  8  Basanta B et al.,PNAS(2020). doi:10.1073/pnas.2005412117
#  9  Pan X et al.,Science(2020). doi:10.1126/science.abc0881
# 10  Minami S et al.,Biorxiv(2021). doi:10.1101/2021.08.06.455475
# 11  Chidyausiku TM et al.,Biorxiv(2021). doi:10.1101/2021.12.20.472081
# 12  Kuhlman B et al.,Science(2003). doi:10.1126/science.1089427
# 13  Huang PS et al.,Nat.Chem.Biol.(2016). doi:10.1038/nchembio.1966
# 13  Rocklin GJ et al.,Science(2017). doi:10.1126/science.aan0693

# the pdb field below corresponds to the name of the design as reported in the corresponding reference plus a ".0" or ".1" suffix if the design was considered unsuccessful or successful, respectively.
# succesful designs were those reported to be predominantly monomeric by SEC-MALS and had a circular dichroism spectra compatible with the design structure

pdb,median_plddt_CF,median_min_plddt_CF,median_res_plddt75_CF,median_rmsd_intra,median_rmsd_alone,median_inter_nres,max_inter_nres,median_buried_hydrophobic_surface,median_ddg,median_sasa_interface,median_monomer_hpatch,median_monomer_sap_score,median_total_score_monomer_relax,graph_solubility,Soluprot_solubility,net_charge72,median_plddt,plddt_bm,plddt_wm,min_plddt_bm,median_%_res_plddt_upper75,median_q_score,q_score_bm,q_score_wm,median_CA_rms,mean_CA_rms_bm,max_CA_rms_bm,mean_CA_rms_wm,median_%_res_CA_rms_low15,perc_low_rms,tot_exp,maxrmsd,maxavg,av_all_low3_rms,hpatch_monomer,SAP_monomer,total_score_monomer,monomer,reference_id
FOLD-I-8.1,86.28,74.84,98.57,0.05,0.32,7.0,12,117.95,-23.64,320.57,1.04,16.56,-6.26,0.622,0.5884,-5.63,87.92,92.03,85.02,81.09,95.89,0.86,0.87,0.85,0.99,0.94,1.37,1.01,95.89,78.9,48800.4,0.9,2.02,0.27,0.8,19.64,-3.35,1,1
FOLD-I-9.0,88.8,75.03,99.28,0.05,0.38,9.5,15,137.14,-30.05,637.63,4.16,25.8,-6.62,0.608,0.7522,-2.23,91.4,93.89,88.6,87.5,95.89,0.86,0.86,0.85,0.97,0.93,1.2,0.97,95.89,82.3,41427.2,0.67,1.88,0.26,4.16,30.38,-3.43,0,1
FOLD-II-1.0,87.9,74.93,99.46,0.14,0.75,1.0,4,147.66,-5.35,167.29,1.2,24.83,-6.86,0.861,0.8751,-2.33,87.18,88.66,86.58,74.24,93.75,0.67,0.69,0.66,3.14,2.87,6.51,3.52,0.0,79.7,69707.2,0.83,2.31,0.34,1.12,25.19,-3.56,0,1
FOLD-II-10.1,90.24,72.32,97.85,0.09,0.42,1.0,4,147.93,-5.42,113.77,2.0,15.65,-7.2,0.928,0.9496,-2.33,86.54,89.09,72.18,68.03,93.75,0.62,0.64,0.61,3.81,3.64,6.59,4.24,0.0,76.4,101983.0,0.96,2.86,0.32,2.4,17.41,-3.76,1,1
FOLD-II-11.0,76.0,54.16,63.44,0.5,2.25,0.0,10,157.24,0.0,0.0,3.12,29.43,-6.65,0.874,0.7714,2.66,77.86,81.48,71.13,56.2,73.96,0.8,0.81,0.79,1.37,1.24,2.78,1.43,75.0,78.1,67156.6,1.98,2.73,0.41,2.4,37.5,-3.45,0,1
FOLD-II-12.1,87.22,59.16,95.7,0.12,0.54,1.5,5,151.28,-11.41,32.04,3.68,23.22,-6.9,0.893,0.7653,2.66,85.61,87.84,70.66,68.79,93.75,0.79,0.8,0.77,1.39,1.28,2.35,1.48,79.17,78.8,77387.5,0.93,2.97,0.33,4.48,28.54,-3.43,1,1
FOLD-II-2.0,80.78,60.4,83.34,0.12,0.44,4.5,10,148.94,-6.27,117.36,1.12,19.24,-6.75,0.794,0.8496,2.67,84.11,88.36,79.56,72.83,86.46,0.82,0.83,0.8,1.22,1.16,3.23,1.31,86.46,81.2,63689.6,0.99,1.88,0.31,0.96,19.08,-3.51,0,1
FOLD-II-3.0,74.46,54.78,52.15,0.24,0.84,0.0,3,152.64,0.0,0.0,3.92,26.98,-6.7,0.86,0.6212,2.72,75.03,77.45,72.98,61.78,54.17,0.79,0.8,0.78,1.38,1.29,2.08,1.41,64.58,74.5,165902.8,0.87,3.93,0.32,4.96,34.75,-3.47,0,1
FOLD-II-4.0,75.05,54.67,58.6,0.13,0.96,6.0,13,149.62,-9.21,360.64,2.4,25.8,-6.54,0.82,0.808,-2.21,76.95,83.3,72.59,63.86,71.88,0.74,0.8,0.72,1.82,1.31,1.87,1.99,25.0,80.4,72896.4,0.79,2.69,0.29,2.56,30.51,-3.34,0,1
FOLD-II-5.1,74.77,52.54,60.75,0.29,1.04,16.5,22,148.4,-18.07,342.11,2.4,26.79,-6.67,0.845,0.7686,2.74,79.28,80.12,74.57,63.54,75.0,0.82,0.83,0.82,1.23,1.16,1.67,1.24,80.21,83.2,59311.3,0.71,2.15,0.29,1.28,27.76,-3.52,1,1
FOLD-II-6.0,74.39,56.98,47.85,0.23,2.26,1.5,8,145.79,-7.07,149.86,2.64,19.63,-6.46,0.87,0.7844,-1.33,86.46,89.5,79.16,69.68,91.67,0.6,0.64,0.59,3.94,2.95,4.35,4.14,0.0,75.0,84147.5,1.0,2.91,0.33,2.72,21.94,-3.55,0,1
FOLD-II-7.1,86.48,69.62,95.7,0.11,0.38,2.0,7,152.19,-6.13,118.66,3.2,27.16,-7.02,0.843,0.7375,6.72,84.85,91.19,67.8,76.55,90.62,0.81,0.84,0.8,1.21,1.04,1.86,1.28,85.42,76.6,64746.3,1.4,2.39,0.35,6.88,28.21,-3.69,1,1
FOLD-II-8.0,87.3,74.8,99.46,0.08,0.26,2.0,12,139.94,-11.69,153.81,1.76,19.81,-6.6,0.914,0.8835,-3.27,87.59,89.59,79.49,75.25,95.83,0.65,0.67,0.63,3.32,3.19,7.34,3.82,0.0,82.4,60968.6,0.66,1.97,0.27,1.76,25.38,-3.38,0,1
FOLD-II-9.0,80.96,51.02,82.26,0.12,0.6,4.0,9,148.73,-14.6,112.2,3.2,25.8,-6.65,0.684,0.831,1.66,81.47,85.85,75.44,62.55,87.5,0.66,0.69,0.65,2.81,2.49,4.73,3.09,3.12,75.1,109142.9,1.07,3.0,0.32,3.04,35.56,-3.25,0,1
FOLD-III-1.1,79.59,67.0,83.34,0.11,0.48,1.0,6,130.42,-4.24,123.57,3.76,33.29,-6.52,0.654,0.8126,-0.62,73.3,83.7,68.93,72.6,43.48,0.85,0.85,0.83,1.06,1.02,1.32,1.21,95.65,75.8,58721.5,1.65,3.35,0.31,4.8,35.91,-3.42,1,1
FOLD-III-10.1,78.88,66.09,71.21,0.12,0.76,0.0,18,126.31,-5.67,95.56,1.76,20.84,-6.78,0.762,0.8505,-8.32,84.3,87.2,81.83,78.44,95.65,0.83,0.87,0.82,1.12,0.94,1.1,1.19,95.65,80.7,41420.9,0.84,2.08,0.31,1.76,26.14,-3.52,1,1
FOLD-III-11.1,83.49,70.24,96.21,0.26,0.3,0.0,3,116.74,-5.02,108.38,0.96,15.8,-6.81,0.728,0.8579,-3.63,85.16,86.82,83.7,78.84,94.2,0.88,0.89,0.87,0.88,0.81,0.95,0.9,95.65,73.8,79203.3,0.63,3.63,0.29,1.44,17.31,-3.49,1,1
FOLD-III-12.1,83.4,70.36,93.18,0.21,0.51,0.0,4,125.2,-0.0,0.0,3.2,26.83,-6.53,0.75,0.8352,-4.61,83.29,86.78,76.84,78.67,95.65,0.87,0.88,0.87,0.92,0.89,1.03,0.92,95.65,75.1,58438.7,1.09,3.24,0.29,3.04,25.52,-3.34,1,1
FOLD-III-13.0,75.84,50.36,65.15,0.12,1.92,1.0,3,112.12,0.0,0.0,0.64,19.62,-6.09,0.733,0.8824,-3.33,77.35,88.52,72.38,78.77,69.57,0.77,0.79,0.75,1.62,1.47,1.88,1.9,37.68,67.8,80206.0,0.67,3.6,0.3,1.76,23.04,-3.38,0,1
FOLD-III-14.1,89.54,81.76,100.0,0.1,0.3,0.0,1,119.64,-0.42,22.04,7.76,34.71,-6.71,0.688,0.9258,-4.32,89.81,91.01,88.57,85.26,95.65,0.8,0.81,0.79,1.43,1.31,1.89,1.47,63.77,70.4,120085.6,0.74,4.25,0.32,8.64,36.02,-3.46,1,1
FOLD-III-2.0,74.81,66.6,48.48,0.12,0.84,15.0,18,126.3,-38.09,732.42,2.96,27.06,-6.29,0.612,0.5841,1.39,78.71,80.33,73.51,58.78,66.67,0.8,0.85,0.8,1.29,1.08,1.57,1.36,81.16,74.3,55382.0,0.76,2.32,0.3,3.84,29.94,-3.09,0,1
FOLD-III-3.0,82.5,62.58,90.9,0.18,0.7,0.0,37,127.15,-2.06,3.85,7.84,31.44,-6.48,0.692,0.7278,-1.61,82.44,84.46,78.79,66.82,85.51,0.81,0.82,0.8,1.23,1.18,1.67,1.27,86.96,77.9,55264.4,1.41,2.87,0.39,6.56,29.12,-3.34,0,1
FOLD-III-4.0,83.75,71.38,94.7,0.12,0.47,0.0,6,122.58,-1.78,66.37,4.16,24.54,-6.62,0.739,0.8646,-2.61,85.15,87.81,82.89,80.54,94.2,0.89,0.89,0.88,0.85,0.82,1.05,0.86,95.65,79.9,52210.9,0.58,3.1,0.27,6.08,27.2,-3.43,0,1
FOLD-III-5.0,84.92,60.62,93.94,0.12,1.6,0.0,4,125.24,-0.0,0.0,2.64,20.83,-6.44,0.719,0.8699,-1.61,85.59,87.32,84.06,82.91,92.75,0.84,0.85,0.83,1.06,1.06,1.26,1.14,95.65,74.7,53971.4,1.0,2.24,0.31,4.0,21.77,-3.32,0,1
FOLD-III-6.0,80.32,59.72,86.36,0.24,1.2,1.5,2,120.84,0.0,0.0,2.88,16.94,-6.66,0.767,0.8042,2.66,81.19,82.44,76.95,58.91,81.16,0.84,0.86,0.84,1.03,0.92,1.27,1.03,95.65,69.4,72802.9,1.03,3.18,0.41,3.04,20.42,-3.31,0,1
FOLD-III-7.0,62.07,43.96,1.52,0.42,2.82,1.0,4,131.38,-2.03,4.62,3.52,28.76,-6.08,0.72,0.8175,-0.62,83.53,87.68,80.6,77.24,86.96,0.79,0.82,0.78,1.53,1.23,2.09,1.63,57.97,68.8,166223.6,4.22,4.94,0.48,2.24,29.78,-3.32,0,1
FOLD-III-8.0,69.76,50.96,37.88,0.18,2.88,0.0,8,126.32,-0.0,0.0,3.52,27.28,-6.18,0.728,0.7237,-0.62,76.62,81.94,73.12,52.98,71.01,0.78,0.78,0.77,1.54,1.5,3.38,1.54,60.87,69.4,61314.6,1.26,2.85,0.39,3.2,36.19,-3.26,0,1
FOLD-III-9.0,84.2,76.0,99.24,0.1,0.28,1.0,3,124.64,-2.47,36.13,1.12,20.44,-6.7,0.694,0.8847,-3.33,87.36,88.64,85.12,82.84,95.65,0.82,0.83,0.82,1.23,1.14,1.81,1.26,89.86,76.6,57368.5,0.97,2.74,0.28,2.72,17.49,-3.51,0,1
FOLD-IV-1.1,68.22,51.58,9.48,0.24,2.06,2.0,5,118.94,-3.88,2.82,1.44,17.0,-6.24,0.744,0.7417,0.67,83.21,84.49,80.5,64.33,88.78,0.85,0.86,0.84,1.07,0.97,1.7,1.1,90.82,75.9,70769.9,1.09,2.33,0.34,1.6,13.83,-3.36,1,1
FOLD-IV-2.1,76.19,39.72,62.1,0.09,0.52,3.0,5,117.02,-7.35,210.59,0.96,18.7,-6.5,0.775,0.8322,-2.27,80.36,91.84,76.8,67.58,80.61,0.85,0.85,0.85,0.99,0.96,1.56,1.01,91.84,74.3,75971.3,1.35,2.08,0.36,0.8,15.09,-3.5,1,1
FOLD-IV-3.1,79.04,55.42,80.53,0.11,0.32,5.5,9,124.25,-2.86,99.94,0.72,14.49,-6.53,0.7,0.4643,1.67,82.45,84.4,81.65,61.53,86.73,0.83,0.84,0.8,1.13,1.04,1.42,1.26,91.84,76.3,77636.5,1.62,2.85,0.38,0.48,17.62,-3.47,1,1
FOLD-IV-4.0,75.22,51.76,55.79,0.15,0.68,5.0,8,122.26,-1.45,44.86,0.56,12.1,-6.43,0.709,0.7021,0.68,80.39,85.3,77.17,66.54,77.55,0.78,0.79,0.78,1.5,1.5,3.36,1.5,57.14,82.8,59174.1,0.87,2.44,0.31,1.28,16.29,-3.32,0,1
FOLD-IV-5.1,81.6,58.73,75.78,0.11,2.92,3.0,9,127.46,-5.72,75.09,0.72,20.35,-6.76,0.711,0.9308,-0.28,84.75,85.93,82.0,71.18,89.8,0.86,0.86,0.85,0.95,0.95,1.47,0.97,95.92,70.7,94313.6,0.78,2.51,0.33,0.16,12.98,-3.5,1,1
FOLD-V-1.0,77.16,58.78,66.13,0.18,1.76,6.0,9,139.76,-13.82,177.44,4.56,19.06,-6.67,0.833,0.8379,-4.65,79.11,86.93,73.09,73.49,78.12,0.79,0.82,0.78,1.44,1.25,1.76,1.56,58.33,84.0,55651.2,0.53,2.07,0.24,4.48,15.01,-3.59,0,1
FOLD-V-10.0,74.36,52.9,49.46,0.26,0.92,1.0,3,135.83,-8.86,68.96,5.76,22.18,-6.6,0.771,0.9273,3.35,78.06,80.23,74.23,66.75,60.42,0.82,0.82,0.81,1.25,1.22,2.03,1.35,82.29,87.2,50979.2,0.65,2.05,0.26,7.36,22.02,-3.51,0,1
FOLD-V-11.0,67.71,53.44,17.74,0.34,1.26,0.0,0,130.62,-0.0,0.0,3.6,23.26,-6.64,0.819,0.8996,-0.65,75.94,83.19,73.58,72.55,55.21,0.75,0.77,0.74,1.74,1.6,2.44,1.84,26.04,86.0,53114.0,0.63,1.84,0.25,4.8,18.66,-3.53,0,1
FOLD-V-12.0,72.04,55.3,37.1,0.33,2.21,0.0,2,138.43,-0.0,0.0,6.72,24.91,-6.5,0.793,0.8964,2.35,81.79,83.61,70.33,66.24,85.42,0.75,0.77,0.74,1.91,1.71,2.67,2.01,14.58,82.3,62544.9,0.74,2.48,0.29,3.36,23.1,-3.35,0,1
FOLD-V-2.0,68.87,51.6,12.36,0.26,0.84,2.0,4,136.32,-7.74,195.8,1.36,13.57,-6.56,0.822,0.8081,-0.65,84.44,89.27,83.35,67.66,93.75,0.81,0.82,0.8,1.27,1.25,1.7,1.36,88.54,81.6,58893.9,1.33,1.9,0.33,1.12,8.56,-3.45,0,1
FOLD-V-3.0,81.63,60.67,84.41,0.16,0.46,0.0,3,130.54,-1.19,45.1,3.04,18.25,-6.6,0.759,0.8841,4.35,82.35,84.23,79.82,66.05,86.46,0.76,0.78,0.75,1.78,1.65,2.91,1.8,30.21,81.4,62396.8,0.76,2.23,0.27,3.36,22.48,-3.22,0,1
FOLD-V-4.0,74.69,62.82,54.3,0.14,0.38,1.5,4,124.32,-10.96,78.68,1.76,11.53,-6.78,0.815,0.926,-1.64,86.98,88.41,83.83,79.45,96.88,0.82,0.83,0.8,1.3,1.17,1.78,1.38,68.75,80.4,68706.2,0.71,2.83,0.26,1.44,13.68,-3.66,0,1
FOLD-V-5.0,82.16,61.08,91.94,0.13,0.46,0.0,92,130.3,-4.82,89.08,2.32,13.02,-6.82,0.806,0.7277,2.35,85.82,87.0,83.67,76.72,96.88,0.75,0.8,0.75,1.88,1.46,2.4,1.93,20.83,87.1,50567.6,0.53,1.79,0.23,1.76,13.47,-3.53,0,1
FOLD-V-6.0,68.98,48.74,23.12,0.35,1.04,0.0,7,124.7,0.0,0.0,3.36,17.49,-6.76,0.857,0.9456,-5.64,77.14,81.65,72.37,65.15,67.71,0.77,0.78,0.77,1.61,1.54,2.49,1.63,41.67,85.2,53208.7,0.64,1.86,0.24,2.72,17.54,-3.53,0,1
FOLD-V-7.1,80.81,56.43,85.48,0.13,0.91,0.0,0,127.21,-3.19,90.24,2.64,14.74,-6.92,0.844,0.9846,-1.65,82.34,83.52,74.88,61.43,86.46,0.82,0.83,0.82,1.22,1.2,1.73,1.25,79.17,74.6,77567.2,0.77,2.44,0.31,4.64,14.88,-3.49,1,1
FOLD-V-8.0,79.02,58.75,81.72,0.16,1.06,2.0,8,134.86,-5.82,49.71,5.36,22.22,-6.64,0.784,0.8071,2.34,83.99,86.57,79.3,73.03,93.75,0.77,0.79,0.76,1.63,1.45,2.09,1.72,37.5,78.0,65533.7,1.72,2.34,0.36,2.08,19.01,-3.48,0,1
FOLD-V-9.0,74.13,54.82,47.85,0.19,0.79,0.0,4,132.49,-5.2,3.08,1.12,16.29,-6.63,0.88,0.9432,-8.64,79.34,85.89,65.96,71.76,70.83,0.73,0.75,0.72,2.13,1.79,2.7,2.23,7.29,84.0,58293.2,0.92,2.6,0.27,0.48,13.86,-3.54,0,1
Fd_5A-1.0,84.84,74.98,99.16,0.12,0.6,0.0,2,115.77,0.0,0.0,0.8,6.12,-5.99,0.803,0.6608,-5.35,86.61,88.74,84.61,84.11,93.65,0.87,0.88,0.86,0.96,0.91,1.1,0.97,95.24,78.1,42812.0,0.84,2.31,0.27,0.96,6.15,-3.19,0,2
Fd_5A-10.0,79.02,68.55,85.0,0.13,0.34,0.0,2,105.4,0.0,0.0,0.56,6.7,-6.01,0.751,0.7236,0.64,84.73,84.94,82.25,76.84,95.24,0.91,0.92,0.9,0.75,0.72,0.82,0.8,95.24,78.5,51996.1,0.58,2.38,0.26,0.32,6.73,-3.25,0,2
Fd_5A-11.0,83.92,76.13,100.0,0.11,0.6,0.0,3,104.44,0.0,0.0,1.2,7.2,-5.96,0.718,0.822,-1.36,84.58,85.94,84.14,78.72,95.24,0.92,0.93,0.92,0.71,0.67,0.76,0.73,95.24,69.4,65998.5,0.82,3.09,0.33,1.6,7.94,-3.13,0,2
Fd_5A-12.1,90.19,80.94,100.0,0.12,0.25,0.0,0,95.36,0.0,0.0,0.32,5.47,-6.4,0.715,0.7517,3.64,89.26,89.98,87.7,82.44,95.24,0.94,0.94,0.93,0.63,0.63,0.75,0.65,95.24,82.9,40415.8,0.52,1.9,0.24,0.32,4.06,-3.38,1,2
Fd_5A-2.0,75.18,64.14,58.33,0.15,0.48,0.0,5,102.66,-0.0,0.0,1.52,6.86,-6.1,0.748,0.5634,0.64,73.29,79.79,70.7,68.58,39.68,0.86,0.87,0.85,0.98,0.91,1.25,1.01,95.24,76.2,56712.6,0.59,2.43,0.28,1.76,7.65,-3.15,0,2
Fd_5A-3.1,88.67,81.18,100.0,0.08,0.22,1.0,4,115.62,-2.65,5.12,3.68,5.71,-6.16,0.786,0.9472,-0.36,89.23,89.48,88.27,81.29,95.24,0.91,0.91,0.9,0.76,0.73,0.81,0.78,95.24,62.3,76674.8,0.79,2.61,0.33,5.44,6.99,-3.28,1,2
Fd_5A-4.0,82.98,68.2,93.34,0.1,0.36,0.0,1,120.52,-1.33,74.04,0.88,9.0,-6.1,0.768,0.6157,0.64,80.63,86.17,73.6,76.04,90.48,0.86,0.87,0.85,0.99,0.93,1.38,1.02,93.65,73.8,49280.5,1.35,2.41,0.34,1.6,7.64,-3.25,0,2
Fd_5A-5.0,82.94,73.36,94.16,0.09,0.57,0.0,4,118.22,-0.0,0.0,0.96,7.54,-5.98,0.788,0.6563,-0.36,85.56,88.4,85.27,79.94,95.24,0.91,0.92,0.9,0.75,0.73,0.83,0.8,95.24,75.1,49977.2,0.84,2.56,0.29,0.8,7.25,-3.0,0,2
Fd_5A-6.0,83.28,74.69,99.16,0.13,0.68,0.0,3,105.5,-0.0,0.0,1.12,9.85,-5.94,0.738,0.7336,-1.32,83.58,88.33,81.99,78.97,95.24,0.88,0.89,0.88,0.88,0.86,1.01,0.91,95.24,73.5,57501.2,0.54,2.44,0.27,1.76,5.14,-3.31,0,2
Fd_5A-7.1,83.28,72.61,96.67,0.15,0.49,0.0,2,108.44,0.0,0.0,1.04,8.52,-6.26,0.819,0.7984,-6.35,83.96,86.9,81.93,81.81,93.65,0.9,0.9,0.89,0.81,0.79,1.05,0.82,95.24,73.3,52954.8,1.16,2.7,0.34,0.0,6.44,-3.19,1,2
Fd_5A-8.1,79.06,58.14,75.83,0.13,0.94,0.0,1,107.8,-0.0,0.0,0.32,10.0,-5.82,0.749,0.7575,-4.35,80.54,83.52,77.69,73.59,82.54,0.92,0.93,0.9,0.71,0.65,0.75,0.79,95.24,80.6,47717.2,0.54,2.45,0.26,0.0,10.08,-3.13,1,2
Fd_5A-9.0,88.72,78.9,100.0,0.09,0.29,0.0,3,94.13,0.0,0.51,0.64,4.91,-5.88,0.802,0.8051,-5.35,89.62,91.63,88.36,80.9,95.24,0.83,0.83,0.83,1.15,1.15,1.71,1.13,80.95,78.0,48542.3,0.57,1.98,0.27,0.48,4.0,-3.23,0,2
Fd_5S-1.0,89.64,85.08,100.0,0.11,0.26,0.0,3,100.44,-0.0,0.0,0.56,7.99,-5.94,0.811,0.8406,-6.31,89.66,90.22,88.52,86.43,94.55,0.89,0.9,0.89,0.79,0.76,0.87,0.8,94.55,60.7,68345.7,0.8,2.93,0.39,0.48,12.33,-3.18,0,2
Fd_5S-2.0,86.35,76.41,100.0,0.13,0.34,0.0,3,107.88,0.0,0.0,2.24,10.18,-5.77,0.744,0.7583,-4.36,86.96,88.28,85.54,82.31,94.55,0.9,0.91,0.9,0.77,0.73,0.82,0.79,94.55,75.3,42451.6,0.78,2.26,0.35,0.16,10.45,-2.93,0,2
Fd_5S-3.0,82.26,69.32,92.31,0.18,0.4,0.0,1,115.32,0.0,0.0,1.68,14.04,-5.9,0.72,0.6804,2.67,81.82,83.6,80.05,69.63,87.27,0.9,0.91,0.89,0.77,0.76,0.93,0.81,94.55,63.8,59583.6,2.32,2.96,0.52,2.08,15.94,-3.19,0,2
Fd_5S-4.0,82.41,75.39,99.04,0.13,0.3,0.0,1,107.61,-0.0,0.0,1.28,12.5,-5.55,0.698,0.6132,3.63,78.76,81.69,71.13,74.76,83.64,0.87,0.88,0.87,0.95,0.91,1.05,0.95,94.55,65.3,54602.8,1.13,2.85,0.4,0.96,12.11,-2.95,0,2
Fd_5S-5.0,81.32,70.26,91.34,0.25,0.7,0.0,0,101.06,0.0,0.0,0.32,8.07,-5.81,0.834,0.9493,-2.32,83.43,83.88,80.97,74.54,90.91,0.88,0.89,0.88,0.86,0.81,1.0,0.9,94.55,62.6,66878.7,0.87,3.33,0.39,0.32,11.85,-2.97,0,2
Fd_5S-6.0,89.63,82.88,100.0,0.06,0.18,2.0,3,92.96,-8.38,91.1,0.32,6.95,-6.03,0.736,0.875,-2.33,89.03,91.57,86.12,84.65,94.55,0.9,0.9,0.9,0.78,0.77,0.86,0.77,94.55,59.0,60974.0,1.04,2.89,0.42,0.48,4.86,-3.22,0,2
Fd_7S-1.0,79.76,65.35,86.76,0.11,0.46,3.5,15,98.9,-20.94,258.95,0.56,9.96,-6.04,0.637,0.8376,1.68,88.09,88.5,85.37,83.96,95.77,0.78,0.79,0.77,1.45,1.35,1.96,1.53,59.15,76.2,56852.0,0.58,3.05,0.29,0.48,9.35,-3.24,0,2
Fd_7S-10.0,82.84,72.78,95.59,0.11,0.31,0.0,13,104.46,-11.25,211.18,0.24,11.56,-6.04,0.647,0.9382,-1.32,86.99,88.22,84.11,82.85,95.77,0.81,0.82,0.79,1.21,1.18,1.7,1.4,83.1,65.3,88396.5,1.0,3.29,0.34,0.16,12.52,-3.25,0,2
Fd_7S-2.1,76.85,58.21,66.18,0.12,0.52,4.0,14,98.75,-22.02,343.57,0.72,15.32,-5.76,0.661,0.869,2.73,82.74,85.96,78.01,72.24,85.92,0.86,0.87,0.85,0.96,0.87,1.43,1.0,94.37,71.9,91981.9,1.03,3.65,0.33,0.8,17.72,-3.15,1,2
Fd_7S-3.0,79.64,68.35,83.08,0.12,0.7,3.0,12,95.67,-18.58,221.64,0.48,9.68,-5.96,0.646,0.8518,4.67,87.01,88.1,84.25,82.03,95.77,0.81,0.81,0.8,1.31,1.24,1.85,1.33,76.06,63.2,100203.3,1.36,3.18,0.38,0.32,8.18,-3.02,0,2
Fd_7S-4.0,74.14,60.46,48.53,0.14,0.44,1.5,12,101.08,-14.22,222.12,0.48,13.8,-5.66,0.608,0.6338,3.67,81.2,85.46,77.43,73.5,74.65,0.82,0.84,0.81,1.12,0.98,1.68,1.14,84.51,58.6,120251.0,1.36,3.9,0.36,0.32,13.66,-3.02,0,2
Fd_7S-6.1,85.12,69.76,93.38,0.11,0.36,9.0,12,101.15,-25.76,355.7,0.0,8.56,-5.94,0.662,0.973,-0.32,88.1,88.7,86.45,77.51,95.77,0.9,0.91,0.89,0.77,0.73,0.85,0.77,95.77,74.1,58829.8,0.7,3.17,0.3,0.0,8.33,-3.23,1,2
Fd_7S-7.0,76.58,62.73,69.12,0.14,0.92,0.0,2,90.12,-9.49,188.33,0.64,11.23,-6.02,0.653,0.8248,2.68,82.09,85.77,76.84,76.85,88.73,0.85,0.86,0.84,1.0,1.0,1.3,1.05,95.77,56.7,90997.7,1.72,3.25,0.48,0.0,9.63,-3.19,0,2
Fd_7S-8.0,78.79,67.47,81.61,0.18,0.44,1.0,5,99.65,-5.92,128.28,0.8,12.67,-6.08,0.662,0.856,3.68,84.42,85.72,81.77,79.15,95.77,0.87,0.88,0.86,0.9,0.86,1.09,0.94,95.77,73.6,57284.4,0.88,3.29,0.34,0.96,11.03,-3.2,0,2
Fd_7S-9.0,83.83,72.5,97.06,0.1,0.29,2.0,4,107.18,-12.95,321.62,0.48,10.16,-6.36,0.663,0.9139,-0.32,87.73,89.92,83.3,82.67,95.77,0.9,0.92,0.9,0.74,0.68,0.81,0.74,95.77,70.2,79691.6,0.72,3.16,0.3,0.32,13.67,-3.27,0,2
Fd_9A-1.1,75.32,53.14,62.5,0.2,2.24,3.0,6,117.22,-7.41,226.27,1.92,17.08,-6.54,0.728,0.8871,2.65,83.44,87.73,78.28,77.96,88.42,0.87,0.88,0.84,0.92,0.86,0.99,1.05,96.84,79.0,61099.7,1.82,2.34,0.38,0.8,19.11,-3.39,1,2
Fd_9A-10.1,73.23,61.94,34.24,0.18,0.6,0.0,2,111.36,-6.27,66.11,1.12,16.66,-6.19,0.71,0.9039,0.65,78.34,82.62,71.92,68.67,80.0,0.81,0.81,0.79,1.25,1.22,2.3,1.42,81.05,74.1,76366.4,1.23,2.56,0.36,0.8,20.5,-3.32,1,2
Fd_9A-11.1,85.58,66.32,96.74,0.15,0.4,0.0,4,116.8,-3.45,76.35,2.0,21.34,-6.66,0.771,0.9852,-4.32,86.0,86.73,83.91,78.24,96.84,0.89,0.89,0.88,0.82,0.79,0.97,0.86,96.84,77.3,76432.4,1.66,3.09,0.36,0.64,18.23,-3.44,1,2
Fd_9A-12.0,78.14,65.61,68.48,0.1,0.42,3.0,5,124.43,-12.34,354.13,1.28,17.41,-6.58,0.694,0.8196,1.65,86.53,88.14,80.26,80.1,96.84,0.85,0.87,0.84,1.0,0.9,1.12,1.05,96.84,83.0,57345.1,1.81,2.38,0.34,3.2,25.08,-3.43,0,2
Fd_9A-2.0,87.46,74.16,98.91,0.08,0.24,0.0,7,112.44,-7.36,167.44,2.24,15.47,-6.53,0.736,0.9496,-0.32,90.63,91.88,88.61,85.45,96.84,0.86,0.87,0.85,0.93,0.88,1.31,1.01,96.84,81.8,58007.7,0.98,2.18,0.27,1.92,16.09,-3.49,0,2
